idx,question,answer,context
body-part_3100,Những người mắc bệnh thận giai đoạn cuối có cần lọc máu thường xuyên không?,Những người mắc bệnh thận giai đoạn cuối cần yêu cầu lọc máu thường xuyên để sống sót.,"Mất hoàn toàn chức năng của thận, thường là do bệnh thận mạn tiến triển. Những người mắc bệnh thận giai đoạn cuối cần yêu cầu lọc máu thường xuyên để sống sót."
body-part_4634,Phải làm gì nếu sử dụng đồ chơi tình dục?,Làm sạch chúng sau mỗi lần sử dụng.,"Sử dụng bao cao su hoặc duy trì mối quan hệ một vợ một chồng sẽ hạn chế tối thiểu nhiễm bệnh lây qua đường tình dục. Nếu có sử dụng đồ chơi tình dục (sex toy), hãy làm sạch chúng sau mỗi lần sử dụng."
body-part_1597,"Tại cơ, insulin có tác dụng gì?","Tại cơ, insulin thúc đẩy sử dụng glucose để tạo năng lượng và tổng hợp glycogen.","Tại cơ: đẩy mạnh sử dụng glucose tạo năng lượng, tổng hợp glycogen. Tại gan: đẩy mạnh sử dụng và dự trữ glucose. - Tổng hợp glycogen dự trữ sau bữa ăn
- Chuyển glucose thừa thành acid béo
- Ức chế tân tạo glucose Mô mỡ: tổng hợp triglyceride từ glucose. Tế bào thần kinh: sử dụng glucose không qua trung gian insulin. "
body-part_2301,Mũi được cấu tạo từ các nhóm cơ nào?,Có 4 nhóm cơ được liên kết với nhau và chịu trách nhiệm cho các hoạt động của mũi.,"Chuyển động của mũi được kiểm soát bởi các nhóm cơ mặt và cổ sâu bên trong da. Có 4 nhóm cơ được liên kết với nhau và chịu trách nhiệm cho các hoạt động của mũi. Một số người có thể sử dụng các cơ này để đóng lỗ mũi và ngăn nước xâm nhập khi ở dưới nước. Niêm mạc Lót mặt trong ổ mũi là niêm mạc mũi. Chia thành 2 vùng: - Vùng nhỏ ở phía trên có các sợi thần kinh khứu giác, gọi là vùng khứu. Nếu nhiễm trùng tại khu này rất dễ theo các dây thần kinh khứu lên tới màng não.
- Luồng không khí hít thở qua lỗ mũi sẽ theo 2 hướng: theo ngách trên vào khu khứu giác – theo ngách giữa và dưới là luồng thở.
- Vùng lớn ở dưới là vùng hô hấp. Vùng này niêm mạc đỏ hồng, thường có nhiều tuyến niêm mạc tiết ra một chất quánh cuốn với bụi đọng khô thành vảy mũi. Lông mũi Lông có mặt trong lỗ mũi, có vai trò quan trọng trong việc lọc và làm ẩm không khí trong khí quyển. Lông mũi phục vụ như một cơ chế bảo vệ chống lại mầm bệnh, loại bỏ các vật liệu rắn độc hại và hạt trong không khí. Cả hai lỗ mũi và khoang mũi được lót bởi màng nhầy, lông mao. Màng tiết ra một chất dính gọi là chất nhầy. Chất nhầy và lông mao này giúp lọc không khí, ngăn sự xâm nhập lạ như vi sinh vật, hạt bụi. Chất nhầy cũng giúp làm ẩm không khí. Bên dưới màng nhầy, có các mao mạch máu làm nóng không khí để phù hợp với nhiệt độ cơ thể. Mạch máu Bên dưới lớp biểu mô niêm mạc có tế bào bạch huyết và mạch máu dày đặc bao quanh, gọi là đám rối tĩnh mạch. Nó có tác dụng làm ấm không khí trước khi đi vào phổi. Do đó, khi các đám rối này bị tổn thương, người bệnh thường chảy rất nhiều máu (máu cam)."
body-part_3912,Màng niêm mạc có đặc điểm gì?,"Màng niêm mạc là lớp mỏng manh, dính chặt vào lớp cơ, có độ dày mỏng khác nhau tùy từng chu kỳ kinh nguyệt."," Buồng tử cung  Tử cung được đục rỗng thành một khoang dẹt theo chiều trước sau. Nó được thắt lại ở chỗ eo tử cung, chia thành hai buồng:  Buồng nhỏ ở dưới, nằm trong cổ tử cung, gọi là ống cổ tử cung  Buồng to ở trong tử cung gọi là buồng tử cung. Buồng tử cung có hình tam giác mà 3 cạnh lồi về phía lòng tam giác. Hai bên thông với vòi tử cung, góc dưới thông với ống cổ tử cung.  Các lớp cấu tạo  Từ ngoài vào trong, tử cung bao gồm các lớp sau đây:  - Lớp thanh mạc: lớp ngoài tử cung
- Lớp cơ: Ở phần thân tử cung có 3 lớp cơ. Tầng ngoài gồm các thớ cơ dọc và một ít cơ vòng. Tầng giữa rất dày gọi là lớp cơ rối. Lớp này gồm các thớ cơ đan chéo nhau chằng chịt quấn lấy các mạch máu. Chính nhờ tầng cơ này mà máu được cầm lại sau khi sinh. Tầng trong chủ yếu gồm các thớ cơ vòng. Ở phần cổ tử cung, cơ mỏng hơn nhiều và không có tầng cơ rối. Nó chỉ có một tầng cơ vòng kẹp giữa hai tầng cơ dọc.
- Lớp niêm mạc: lớp trong tử cung. Đây là lớp niêm mạc mỏng manh, dính chặt vào lớp cơ. Niêm mạc dày mỏng theo chu kì kinh nguyệt hàng tháng. Khi niêm mạc bong ra thì gây hiện tượng kinh nguyệt.  "
body-part_1357,Làm thế nào để theo dõi sức khỏe sinh sản và phát hiện những thay đổi quan trọng?,"Theo dõi chu kỳ kinh nguyệt có thể giúp bạn theo dõi được sức khỏe sinh sản của mình, biết được thời gian rụng trứng và nhận biết được những thay đổi, điển hình như là trễ kinh hoặc chu kỳ bất thường.","Mức progesterone thấp có thể ảnh hưởng đến cả kinh nguyệt và khả năng sinh sản. Progesterone giúp thúc đẩy một môi trường tốt cho trứng thụ tinh. Khi nồng độ thấp, trứng đã thụ tinh sẽ khó phát triển và lớn lên. Lượng progesterone thấp cũng có thể góp phần vào một số tình trạng, bao gồm: - Kinh nguyệt không đều hoặc là chảy máu nhiều trong chu kì kinh.
- Sẩy thai và chuyển dạ sớm. Những bà mẹ có nguy cơ sinh non có thể được cung cấp một dạng progesterone tổng hợp để trì hoãn việc bắt đầu chuyển dạ.
- Thiếu progesterone trong máu có thể có nghĩa là buồng trứng đã không thể phóng thích trứng vào thời điểm rụng trứng. Như vậy, tình trạng này có thể xảy ra ở phụ nữ mắc hội chứng buồng trứng đa nang. Theo dõi chu kì kinh nguyệt có thể giúp bạn theo dõi được sức khoẻ sinh sản của mình, biết được thời gian rụng trứng và nhận biết được những thay đổi quan trọng – như trễ kinh hay một chu kì bất thường."
body-part_3857,Đường đi của mạch máu chính ra vào tủy răng là gì?,"Mạch máu chính ra vào tủy qua lỗ chóp, có thể qua ống tủy phụ.","Sự phân bố Mạch máu chính ra vào tủy qua lỗ chóp, có thể qua ống tủy phụ. Các mạch máu nhỏ tạo sự thông thương giữa tủy răng và màng nha chu. Mạch máu đi vào tủy răng là các động mạch nhỏ, hẹp và các mao mạch có thành mỏng, chạy ngược lên trung tâm tủy chân và phân chia rộng rãi. Các vòng mạch ngoại vi có thể xâm nhập vào lớp nguyên bào ngà (chủ yếu ở tủy thân). Cấu trúc Các vòng mạch tận của mạng mạch máu tủy nằm tương đối song song với trục nguyên bào ngà. Chúng có đường kính 4-8µm và có nhiều lỗ thủng tạo điều kiện để trao đổi phân tử diễn ra. Các tiểu tĩnh mạch và tĩnh mạch theo đám rối dưới nguyên bào ngà đi vào trung tâm tủy. Sau đó đi về phía chóp, dọc theo đường đi lên của các động mạch. Các thông động – tĩnh mạch độc lập với mạng mao mạch ngoại vi dưới nguyên bào ngà, có ở cả tủy thân và tủy chân. Điều hòa tuần hoàn máu Tốc độ dòng máu phụ thuộc vào đường kính của lòng mạch, số lượng nhánh và số lỗ thủng của mạch đó. Trong tủy, dòng máu được kiểm soát thông qua sự điều hòa co mạch của hệ giao cảm. Áp lực máu ở mao mạch có thể tới hơn 150 mmHg. "
body-part_146,Khi nào bilirubin không liên hợp có thể gây độc cho não?,Bilirubin không liên hợp có thể gây độc cho não khi nồng độ của nó vượt quá albumin.,"Dạng bilirubin tự do không liên hợp trong huyết thanh. Chỉ một phần nhỏ bilirubin lưu hành ở trạng thái tự do không liên kết. Bilirubin không liên hợp có thể gây độc cho não khi nồng độ của nó vượt quá albumin. Một số chất có thể liên kết với albumin tại cùng vị trí với bilirubin. Ví dụ: sulfonamid, warfarin, thuốc chống viêm và thuốc cản quang. Các tác nhân này có thể thay thế bilirubin liên kết với albumin. Chúng dẫn đến bệnh não do lắng đọng bilirubin ở trẻ sơ sinh dù không làm thay đổi tổng nồng độ bilirubin trong huyết thanh. Nhiều hợp chất khác như axit béo liên kết tại một vị trí albumin khác nhau. Nhưng trong một số trường hợp, nó có thể làm giảm sự liên kết của albumin đối với bilirubin. Albumin liên kết của bilirubin thường có thể chuyển về dạng không liên hợp. Tuy nhiên, liên kết có thể bền vững, không thể chuyển thành dạng không liên hợp, xảy ra khi tăng bilirubin liên hợp kéo dài (ví dụ, trong tắc nghẽn đường mật). Phần bilirubin liên kết với albumin không được tách thành bilirubin tự do bởi gan hoặc thận. Điều này có thể dẫn đến tăng bilirubin máu kéo dài sau khi nội soi hoặc phẫu thuật giảm tắc nghẽn đường mật."
body-part_719,"Theo báo cáo của một số nghiên cứu nhỏ, việc sử dụng thực phẩm bổ sung DHEA có tác dụng như thế nào tới quá trình chống lão hóa?",Các báo cáo của một số nghiên cứu nhỏ chỉ ra rằng việc sử dụng thực phẩm bổ sung DHEA có khả năng đem lại tác động tích cực trong việc chống lão hóa.,"Vì mức độ DHEA giảm theo tuổi tác, một số nhà nghiên cứu suy đoán rằng việc bổ sung lượng hormone đang giảm trong cơ thể có thể giúp chống lại sự lão hóa. Một số nghiên cứu nhỏ đã báo cáo tác dụng chống lão hóa tích cực từ việc sử dụng thực phẩm bổ sung DHEA. Nhưng một số nghiên cứu tương tự đã báo cáo không có tác dụng. Theo Cơ sở Dữ liệu toàn diện về các thuốc có nguồn gốc thiên nhiên (Natural Medicines Comprehensive Data Base NMCDB), các chất bổ sung DHEA dường như không ảnh hưởng gì đến quá trình lão hóa. Ngoài ra, người ta cũng không rõ các tác hại khi bổ sung DHEA về lâu dài là gì. Một số người lo ngại rằng việc tiếp tục sử dụng các chất bổ sung có thể gây hại. Xem thêm: Hormone DHEA ở người: Những thông tin mà bạn đọc cần biết."
body-part_1867,Tại sao lông mi chuyển sang màu xám nhưng hiếm khi chuyển sang màu trắng?,Lông mi chuyển sang màu xám khi tuổi rất cao và hiếm khi chuyển sang màu trắng vì sự duy trì sắc tố ở lông mi được giải thích bởi một biểu hiện bền vững của TRP-2.,"Da và tất cả tóc trên cơ thể con người thu nhận sắc tố chủ yếu là do quá trình tạo hắc tố. Đây là sự tổng hợp các loại hắc tố khác nhau của các tế bào hắc tố. Tế bào này chịu ảnh hưởng của một số enzym, bao gồm cả protein liên quan đến tyrosinase 2 (TRP-2) . Khi nói đến lông mi, mức độ sắc tố của chúng được xác định bởi số lượng tế bào hắc tố trong cấu trúc nang lông mi. Lông mi trở nên xám khi tuổi rất cao và hiếm khi trắng hơn. Việc duy trì sắc tố lông mi có thể được giải thích bởi một biểu hiện bền vững của TRP-2. Cần có các nghiên cứu sâu hơn để xác nhận xem mối liên hệ này có phải là mối quan hệ nguyên nhân – kết quả trực tiếp hay không. Ngược lại, nhiều nghiên cứu đã chỉ ra rằng tóc da đầu sẽ dần dần mất đi sắc tố do sự suy giảm dần dần của các tế bào hắc tố. Một số cơ chế đã được chứng minh để giải thích hiện tượng này: quá trình chết rụng tế bào hắc tố, stress oxy hóa và giảm biểu hiện của một số enzym, chẳng hạn như TRP -2,17, 20, 21."
body-part_3238,"Ngoài chức năng phân loại và phân loại các đối tượng, thùy trán còn có chức năng gì khác?",Thùy trán còn giúp phân biệt món đồ này với đồ vật khác.,Frontal lobe giúp con người phân loại và phân loại các đối tượng. Ngoài ra nó còn giúp phân biệt món đồ này với đồ vật khác.
body-part_4117,Vị trí của tuyến tụy nằm ở đâu?,Gần bên dưới dạ dày.,"Tuyến tuỵ nằm gần bên dưới dạ dày. Đây là cơ quan có vai trò quan trọng trong việc điều chỉnh lượng đường trong máu và góp phần vào quá trình tiêu hóa chất béo, carbohydrate và protein."
body-part_1590,Năm nào Insulin ở người lần đầu tiên được tổng hợp?,Insulin ở người lần đầu tiên được tổng hợp vào năm 1963.,"- 1869: Paul Langerhans đã phát hiện ra một nhóm tế bào đặc biệt ở tuyến tụy và sau này gọi là đảo Langerhans.
- 1921: Bác sĩ Frederick Banting và nghiên cứu sinh Charles Best đã tiến hành thử nghiệm trên tuyến tụy của chó.
- 1922: Banting và Best tiếp tục nghiên cứu và cải thiện kĩ thuật để sản xuất insulin và Eli Lilly trở thành nhà sản xuất insulin đầu tiên.
- 1936: Hans Christan Hagedorn đã khám phá rằng Insulin có thể kéo dài tác dụng khi gắn với protamine.
- 1950: NPH, insulin tác dụng trung bình đã được đưa ra thị trường bởi công ty Danish Novo Nordisk.
- 1963: Insulin ở người lần đầu tiên được tổng hợp.
- 1978: Insulin đã trở thành protein người đầu tiên được sản xuất bằng công nghệ sinh học bởi công ty Genentech.
- 1982: Insulin tổng hợp có tên là “Human insulin” có những đặc tính khác hơn với insulin có nguồn gốc từ động vật. Loại này có ưu điểm là ít gây dị ứng hơn insulin động vật.
- 1996: Ra đời một loạt các Insulin anologue."
body-part_4500,Xương đòn nằm ở đâu trên cơ thể?,"Xương đòn nằm ở phía trước ngực, gần dưới cổ."," Xương đòn là xương nối phần xương ức với vai. Nó là một xương rất cứng chắc, có hình chữ S cong nhẹ. Có thể dễ dàng nhìn thấy ở nhiều người, nhất là người có tổng trạng gầy. Nó gắn với xương ức tại một khớp bằng sụn được gọi là khớp xương ức. Ở đầu kia, xương đòn gắn vào vùng vai ở một phần của xương bả vai có tên gọi là mỏm cụt.  Xương đòn dài, mỏng và nằm ở gần dưới cổ. Xương đòn đóng vai trò như một thanh chống để nối xương ức với xương bả vai. Do vị trí quan trọng của xương đòn, bất kỳ lực mạnh nào lên vai, chẳng hạn như ngã trực tiếp vào vai hoặc ngã đè trên cánh tay lúc đang dang ra, đều truyền lực đến xương đòn. Kết quả dẫn đến xương đòn là một trong những xương thường bị gãy nhất trên cơ thể. "
body-part_609,Có bất kỳ thông tin đáng tin cậy nào về tác dụng phụ của Collagen không?,"Cho đến nay, rất ít thông tin đáng tin cậy về sự an toàn và hiệu quả của các chất bổ sung collagen.","Cho đến nay, có rất ít thông tin đáng tin cậy về sự an toàn và hiệu quả của các chất bổ sung collagen. Nhưng nếu bạn đang dùng chất bổ sung collagen, hãy biết rằng thực phẩm chức năng không cần phải được chứng minh là an toàn trước khi chúng được bán. Nếu bạn quan tâm đến việc bổ sung nó, hãy tham khảo các chuyên gia sức khỏe để chọn một chất bổ sung chất lượng cao từ những thương hiệu đáng tin cậy. Các tác dụng phụ tiềm ẩn của chất bổ sung gelatin bao gồm: mùi vị khó chịu kéo dài, cảm giác nóng và ợ chua.12 Cần lưu ý rằng nguồn collagen cũng rất quan trọng. Ví dụ, nếu bị dị ứng với trứng hoặc cá, bạn có nguy cơ bị phản ứng nghiêm trọng với collagen có nguồn gốc từ những thực phẩm đó. Collagen là một loại protein được tìm thấy khắp cơ thể, đặc biệt là trong da, xương, dây chằng và gân, răng và các mô liên kết. Một chế độ ăn uống lành mạnh, đầy đủ protein; thói quen dùng kem chống nắng; thuốc bôi và các thủ thuật da liễu khác có thể đảm bảo cơ thể bạn nhận được và sản xuất những gì cần thiết để làm giảm sự xuất hiện của lão hóa."
body-part_4240,Cắt bỏ khối u có mục đích gì?,Cắt bỏ khối u vú với mục đích chính là loại bỏ khối u và một số mô bình thường xung quanh nó.,Phẫu thuật để loại bỏ một khối u vú và một số mô bình thường xung quanh nó. Nhiều bệnh ung thư vú giai đoạn đầu được phẫu thuật cắt bỏ bằng cách cắt bỏ khối u thay vì cắt bỏ vú.
body-part_2443,Van niệu đạo sau có những biểu hiện triệu chứng như thế nào?,"Trẻ thường có biểu hiện quấy khóc vì không tiểu được, có trường hợp còn kèm theo sốt, khó thở, chướng bụng.","Van niệu đạo sau là bệnh lý bẩm sinh xảy ra do có sự rối loạn trong hình thành ống niệu – sinh dục của trẻ ở thời kỳ bào thai. Niệu đạo sau gồm đoạn tiền liệt và đoạn màng. Van niệu đạo sau là tình trạng xuất hiện một màng ngăn ở niệu đạo sau. Khiến cho nước tiểu lưu khó lưu thông và có thể chảy ngược lại bàng quang thậm chí là chảy ngược lại niệu quản, thận. Việc ứ đọng và chảy ngược nước tiểu sẽ gây ra những biến chứng vô cùng nguy hiểm cho trẻ. Triệu chứng của van niệu đạo: trẻ thường có biểu hiện quấy khóc vì không tiểu được, có trường hợp còn kèm theo sốt, khó thở, chướng bụng. Tùy vào mức độ và tình trạng của bệnh nhân mà các bác sĩ sẽ có phương án điều trị thích hợp. Nhìn chung gồm có: - Xông tiểu, dẫn lưu bàng quang.
- Đưa niệu quản ra da.
- Nội soi cắt van niệu đạo."
body-part_1523,Hệ thần kinh giao cảm là gì?,"Hệ thần kinh giao cảm là một phần của hệ thần kinh tự chủ, chịu trách nhiệm điều hòa các quá trình bất kỳ khi nào trong cơ thể chẳng hạn như nhịp tim, huyết áp, tiêu hóa và hô hấp.","Đây là những khối u phát sinh từ các tế bào ưa Crom có trong tủy thượng thận. Hoặc tế bào cận hạch thần kinh tiết ra một lượng dư thừa Catecholamine (norepinephrine, epinephrine). Do sự giải phóng Catecholamine dư thừa này, các triệu chứng phần lớn là do hoạt hóa giao cảm. Chẳng hạn như tăng huyết áp, nhịp tim nhanh, đánh trống ngực, tăng đường huyết và tăng tiết mồ hôi."
body-part_2510,Các sản phẩm vi khuẩn có trong nước bọt là gì?,"Các sản phẩm vi khuẩn có trong nước bọt bao gồm axit hữu cơ nhỏ, amin và thiols.","Có thể lên tới 8 triệu tế bào người và 500 triệu tế bào vi khuẩn mỗi ml. Sự hiện diện của các sản phẩm vi khuẩn (axit hữu cơ nhỏ, amin và thiols) làm cho nước bọt đôi khi có mùi hôi."
body-part_3582,Điều gì xảy ra nếu em bé đôi khi được sinh ra với các u nang trong tuyến mang tai?,Em bé đôi khi được sinh ra với các u nang trong tuyến mang tai vì các vấn đề liên quan đến sự phát triển của tai trước khi sinh.,"Chúng là các túi nhỏ chứa đầy chất lỏng. Em bé đôi khi được sinh ra với các u nang trong tuyến mang tai vì các vấn đề liên quan đến sự phát triển của tai trước khi sinh. Sau này, các loại u nang khác có thể hình thành trong các TNB chính hoặc phụ. Chúng có thể là kết quả của chấn thương, nhiễm trùng, sỏi TNB hoặc khối u."
body-part_481,Điều gì xảy ra khi nạp quá nhiều natri vào cơ thể?,"Thừa natri có thể gây hại cho cơ thể, đặc biệt là những người mắc bệnh tăng huyết áp.","Natri là ion dương (cation) chủ yếu trong chất dịch ở ngoài tế bào. Kí hiệu hóa học của natri là Na⁺. Phần lớn Natri được tá hấp thu ở ruột và thận. Để đảm bảo hằng định nội môi, lượng Natri đưa vào phải cân bằng với lượng Natri thải ra. Lượng Natri đưa vào cơ thể tùy thuộc thói quen ăn uống của mỗi người. Nếu tiêu thụ một lượng lớn muối có thể gây hại cho cơ thể. Đặc biệt là người tăng huyết áp. Khi kết hợp với clorua, chất tạo thành là muối ăn NaCl. Natri dư thừa (chẳng hạn như có được từ các nguồn thực phẩm) được bài tiết qua nước tiểu. Natri có vai trò điều chỉnh tổng lượng nước trong cơ thể, bảo vệ cơ thể khỏi sự mất dịch, giúp cân bằng độ pH. Nhiều quá trình trong cơ thể, đặc biệt là trong não, hệ thần kinh và cơ bắp, đòi hỏi các tín hiệu điện để liên lạc. Sự chuyển động của natri rất quan trọng trong việc tạo ra các tín hiệu điện này."
body-part_1122,Việc lấy mẫu mô từ nhau thai có thể được thực hiện thông qua những đường nào?,Việc lấy mẫu mô từ nhau thai có thể được thực hiện thông qua cổ tử cung của người phụ nữ (xuyên cổ tử cung) hoặc thành bụng (qua bụng).,"Đầu tiên, bác sĩ sẽ sử dụng siêu âm để xác minh tuổi thai của bé và vị trí của nhau thai. Bạn sẽ nằm ngửa trên bàn khám và để hở phần bụng. Bác sĩ sẽ thoa một loại gel đặc biệt lên bụng bạn. Sau đó sử dụng một thiết bị nhỏ được gọi là đầu dò siêu âm để hiển thị vị trí của em bé trên màn hình. Tiếp theo, bác sĩ sẽ sử dụng hình ảnh siêu âm làm hướng dẫn và lấy mẫu mô từ nhau thai trong khi bạn nằm yên. Điều này có thể được thực hiện thông qua cổ tử cung của người phụ nữ (xuyên cổ tử cung) hoặc thành bụng (qua bụng)."
