qid,context,question,answer,tag
foody_609,"Sáng nay ghé đây ăn sáng , khoảng 9 giờ quán hơi đông nhưng vẫn có chỗ ngồi  
Món ăn :
- Bánh gạo : dai và ngọt quá mình ăn ko nổi , ăn dc vài miếng bỏ , trứng ốp thì chín quá mình thích trứng lòng đào hơn , ăn ngán mà chỉ có 3 lát cà chua
- Kem choco hạt điều : cũng dc ko có gì đặc biệt
- Cà phê sữa : đắng kinh khủng ko uống dc
Tóm lại cả 1 phần ăn thì có kem mình ăn gần hết còn lại thì ăn uống ko nổi  
Phục vụ hơi lâu xíu vì quán đông
",Cà phê sữa của quán ra sao?,đắng kinh khủng,foody
foody_1879,"Ghé vô đồng tiến mua ổ bánh mì  
đang lựa chọn ăn gì thì bé nhân viên nói "" bên em mới triển khai bán bánh mì thịt nướng lu chị mua ăn thử nhé "" vậy là ok luôn
cũng tại cái tính thấy cái chi mới cũng muốn thử
tò mò qúa mà
hahah
nói chung ăn xong cũng hơi hối hận thiệt
hối hận vì lỡ kết em nó mất rồi hic hic : ) ) )
chắc phải giới thiệu tới mua thôi hè hè
đúng chất nướng lu
",Quán bây giờ có món gì mới?,bánh mì thịt nướng lu,foody
foody_563,"Trưa nắng nên tụi mình chạy qua đây ăn yogurt trái cây , vừa mát vừa đẹp da nữa ^ ^ order 3 phần rainbow , ly nào ly nấy to oành , trái cây nhìu loại màh tươi nữa , yogurt ăn cũng đc , có tô đá riêng để bỏ bao nhiêu tuỳ thích nèh ... có điều mình nghĩ quán nên để mật ong riêng ra ngoài chứ đừng bỏ chung vào ly , vì cá nhân mình thích ăn yogurt nguyên chất chứ ko cho đá , màh bỏ mật ong vào thì sẽ ngọt gắt lắm , hên là nó ở dưới đáy ly mình ko quậy lên nên vẫn ok : ) nv nhiệt tình dễ thương nèh , 30k 1 ly bự chà bá , có e - card được giảm 10% nữa hehe
",Góp ý của khách hàng về yourt là gì?,nên để mật ong riêng ra ngoài,foody
foody_2973,"Sợ nhân viên ở đây luôn , vào mua nước thì nước bỏ trong tủ ko lạnh , hỏi em có bán ly đá ko nói "" ko "" , hỏi em có ống hút ko nói "" ko "" , sợ quá chỉ dám mua 1 chai nước đi ra thì 2 nhân viên nhìn nhau cười như được mùa 0   o  
Vị trí quán thì tiện lợi thiệt đó nhưng K+ mướn mấy đứa này vào đây làm để bán hàng hay để đuổi khách vậy ko biết .
",Khách hàng cảm thấy sợ vì điều gì?,nhân viên ở đây,foody
foody_220,"Đến Đn du lịch mà đi theo nhóm tầm 8-10 người và muốn tự do yên tĩnh thì nên book villa ở đây . Rộng thênh thang 3 phòng ngủ có vườn trước vườn sau , tổ chức bbq ở sân sau là pool party luôn thì chuẩn 😍 😍 😍
Nếu muốn có phục vụ phòng và ăn sáng thì book qua lễ tân hoặc TA còn nếu k cần thì book trực tiếp qua chủ căn hộ sẽ có giá hấp dẫn hơn . Mang theo cả đồ nấu nướng nữa vì căn hộ bao gồm cả bếp tủ lạnh trang bị đầy đủ .
Hồ bơi của villa nhỏ tí xíu nên ra hồ bơi trung tâm nha , bãi biển thì đẹp mê luôn 😘
",Không gian ở đây phù hợp với những người có yêu cầu thế nào?,muốn tự do yên tĩnh,foody
foody_1762,"Lâu lắm rồi mới lại ăn bingsu ở đây , trời nắng nóng nóng nữa ăn món này đúng đã lun , mát lạnh cả người . Bingsu mềm mịn , lại đẹp nữa .
Gọi bingsu trái cây và bingsu ổin , nhưng mình khoái trái cây hơn vì orion hơi ngọt quá nên mình ko thích lắm
Mầm thêm 2 cái bánh crepe : 1 crepe sốt chocolate vs 1 cái sốt dâu . Bánh crepe dai , thơm mà giá thì chỉ 15k , quá là hạt giẻ
Thêm 1 cách bánh nướng kiểu pháp sốt chocolate cũng toẹt vời
Nói chung từ khi dọn tất cả các món ra sau khi chụp hình các kiểu thì xử hết sạch sành sang trong vòng 5 nố nhạc . Thặc là thung thướng tâm hồn ... hehe
Quán đẹp , phục vụ siêu tốt , cực kì hài lòng
",Món bingsu ăn ngon khi thời tiết thế nào?, trời nắng nóng nóng,foody
foody_2475,"Ấn tượng đầu tiên là không gian rất đẹp , thoáng , mọi thứ đều chuyên nghiệp từ menu đến thái độ phục vụ của nhân viên . Giá rẻ hơn mình dự đoán , đặc biệt là khi so sánh với chất lượng . Mình gọi một phần lẩu thái và ít đồ nướng , nước lẩu chua cay không gắt và rất ngon , mình đi hai người nhưng chắc lẩu này 3-4 người ăn vẫn vừa , thịt nướng ướp gia vị vừa miệng . Lửa than hơi nhỏ nhưng không ảnh hưởng lắm . Nói chung mọi thứ đều vừa ý mình , chắc chắn sẽ quay lại lần nữa .
",Không gian của quán có gì ấn tượng?,"rất đẹp , thoáng",foody
foody_1889,"Mình có mua voucher ở đây , vì voucher giá rẻ nên người mua cũng nhiều . Hôm nay ghé ăn thử . Voucher ghi rõ là 9h quán mở cửa , mình đến lúc 10h hơn thì quán vắng teo . Nhân viên phục vụ thái độ khó chịu như muốn đuổi khách , nói là chưa có nguyên liệu , 11h mới có . Bạn mình và mình đi luôn , bỏ voucher , từ đây về sau không quay lại nữa .
",Mấy giờ quán mới có thể làm đồ ăn?,11h,foody
foody_2019,"Quán hơi nhỏ , chổ gửi xe thì ok
Giá cả bình thường , cho những bạn sinh viên ok . Món ăn canh hải sản mình gọi thì canh quá ... 😰 😱 😰 thích hợp với những bạn ăn cay , riêng mình uống gần 2 chai nước 😂 😂 😂 Cơm trộn thì tớ thấy cũng bình thường , nhìn đẹp thôi 😅 😅 . Còn trứng cuộn thì 😶 😶 tạm được .
Nhưng mấy món này bạn mình nấu ngon thế này . Chưa ăn thử mấy món khác thế nào .
🍥 🍥 🍥 Tạm dừng 🍥 🍥 🍥
",Canh hải sản ở đây phù hợp với người có khẩu vị thế nào?,ăn cay,foody
foody_528,"Quán mới thoáng , rộng . Nhân viên phục vụ vô cùng chu đáo , luôn cười niềm nở với khách hàng , hay trêu khách nữ : O giá đồ ăn hợp lý . Dù gọi 1 bát bún ko ( nước + bún ) vẫn có đầy đủ đồ ăn kèm , nhân viên vẫn nhiệt tình , chứ ko như Bún bò huế O Xuân , nhân viên giả điếc luôn khi khách gọi thêm đồ đi kèm . T chấp nhận trả thêm tiền mà , chỉ là t ko ăn thịt , đâu fải t ko có đủ tiền : (
",Khách hàng đánh giá gì về không gian của quán?,"thoáng , rộng",foody
